Sentence,Sentiment_Num,,,,
“전기차 배터리공장 임금 올리지 않으면”…LG합작사 거론한 미 자동차 노조,1,,,,
"국내 배터리3사 점유율 24.7%, LG에너지솔루션 3위 그쳐",2,,,,
"글로벌 전기차 배터리 1, 2위 모두 중국 …LG엔솔 3위로 밀려",0,,,,
"“SK온, 2분기엔 함께 웃나”…LG엔솔·삼성SDI, 1분기 ‘활짝’",2,,,,
"‘테슬라 빅뱅’ 올라탄 LG엔솔, 최대 파트너사 정조준 ",1,,,,
"LG엔솔, 1분기 영업이익 6332억원…전년 비교  144.6%증가",2,,,,
"LG엔솔 '자신감', 삼성SDI '확장', SK온 '반전'…배터리3사 노림수",2,,,,
 삼성·LG·에코프로 전략은,1,,,,
"LG엔솔, IRA 변수 넘고 ‘니켈 1위’ 인니 사업에 속도",2,,,,
"“작년 이익 절반 넘었다”…LG에너지솔루션, 1분기 영업이익 6332억원",2,,,,
"한국해비타트-LG에너지솔루션, 인도네시아에 기후변화 적응 지원 사업 착수",1,,,,
LG엔솔 '마더 라인' 구축…오창 에너지플랜트에 6000억 투자,1,,,,
"LG엔솔, 1분기에 지난해 영업이익 50%…""러브콜 지속""",2,,,,
미국  IRA 세액공제 혜택덕에 LG엔솔·한화솔루션 호실적,2,,,,
LG엔솔 1분기 영업익 6천332억 원…IRA 세액 공제 효과,2,,,,
 LG에너지솔루션 4% 폭락,0,,,,
"LG에너지솔루션, 오창 에너지플랜트에 6000억원 투자...'마더 라인' 구축",1,,,,
"LG화학, 1분기 영업이익 7910억원…전년비교  22.8%감소",0,,,,
LG엔솔 “올해 매출 전년대비 30% 이상 성장 전망”,2,,,,
"키움증권, LG에너지솔루션 목표가증가…""미국 IRA법 수혜""",2,,,,
"LG엔솔, 6000억원 투자 국내 '마더 플랜트' 구축",2,,,,
배터리 업고 승승장구… LG엔솔·삼성SDI '1Q 매출' 역대 최대,2,,,,
"“재임 기간 세계 최고로”…LG엔솔 권영수, 첫 오창 ‘타운홀’",1,,,,
"포스코퓨처엠, LG엔솔에 7년간 30조원대 양극재 공급키로",2,,,,
"LG엔솔, 북미가정용 ‘신제품 ESS’ 출시",1,,,,
"LG엔솔, 1분기 영업이익 6332억 원…전년 대비 144.6%증가",2,,,,
"미국 에만 투자하지 않는다… LG엔솔, 충북 오창에 6000억 쏟는 이유",1,,,,
LG에너지솔루션 1분기 영업익 6332억원…분기 기준 역대 최대,2,,,,
‘황제주’ 만드는 배터리 소재 그리고…진격의 LG화학,2,,,,
" LG엔솔 ""올해 IRA 세제 혜택 규모 15~20GWh 예상""",2,,,,
LG화학·포스코퓨처엠 '전기차 효과'…분기 최대 매출 '좋아좋아',2,,,,
포스코퓨처엠 또 ‘수주 대박’… LG엔솔에 30조 규모 양극재 공급,2,,,,
"LG화학, 석화 쪼그라들고 전지재료는 성장",1,,,,
